id_partido,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,anio,total_goles,diferencia_goles,ganador
164,1962-06-10,Germany,Yugoslavia,0,1,FIFA World Cup,Santiago,Chile,True,1962,1,1,Visitante
165,1962-06-13,Chile,Brazil,2,4,FIFA World Cup,Santiago,Chile,False,1962,6,2,Visitante
166,1962-06-13,Czechoslovakia,Yugoslavia,3,1,FIFA World Cup,Viña del Mar,Chile,True,1962,4,2,Local
167,1962-06-16,Chile,Yugoslavia,1,0,FIFA World Cup,Santiago,Chile,False,1962,1,1,Local
168,1962-06-17,Brazil,Czechoslovakia,3,1,FIFA World Cup,Santiago,Chile,True,1962,4,2,Local
169,1966-07-11,England,Uruguay,0,0,FIFA World Cup,London,England,False,1966,0,0,Empate
170,1966-07-12,Brazil,Bulgaria,2,0,FIFA World Cup,Liverpool,England,True,1966,2,2,Local
171,1966-07-12,Germany,Switzerland,5,0,FIFA World Cup,Sheffield,England,True,1966,5,5,Local
172,1966-07-12,North Korea,Russia,0,3,FIFA World Cup,Middlesbrough,England,True,1966,3,3,Visitante
173,1966-07-13,Argentina,Spain,2,1,FIFA World Cup,Birmingham,England,True,1966,3,1,Local
174,1966-07-13,Chile,Italy,0,2,FIFA World Cup,Sunderland,England,True,1966,2,2,Visitante
175,1966-07-13,France,Mexico,1,1,FIFA World Cup,London,England,True,1966,2,0,Empate
176,1966-07-13,Hungary,Portugal,1,3,FIFA World Cup,Manchester,England,True,1966,4,2,Visitante
177,1966-07-15,Brazil,Hungary,1,3,FIFA World Cup,Liverpool,England,True,1966,4,2,Visitante
178,1966-07-15,Chile,North Korea,1,1,FIFA World Cup,Middlesbrough,England,True,1966,2,0,Empate
179,1966-07-15,France,Uruguay,1,2,FIFA World Cup,London,England,True,1966,3,1,Visitante
180,1966-07-15,Spain,Switzerland,2,1,FIFA World Cup,Sheffield,England,True,1966,3,1,Local
181,1966-07-16,Argentina,Germany,0,0,FIFA World Cup,Birmingham,England,True,1966,0,0,Empate
182,1966-07-16,Bulgaria,Portugal,0,3,FIFA World Cup,Manchester,England,True,1966,3,3,Visitante
183,1966-07-16,England,Mexico,2,0,FIFA World Cup,London,England,False,1966,2,2,Local
184,1966-07-16,Italy,Russia,0,1,FIFA World Cup,Sunderland,England,True,1966,1,1,Visitante
185,1966-07-19,Argentina,Switzerland,2,0,FIFA World Cup,Sheffield,England,True,1966,2,2,Local
186,1966-07-19,Brazil,Portugal,1,3,FIFA World Cup,Liverpool,England,True,1966,4,2,Visitante
187,1966-07-19,Italy,North Korea,0,1,FIFA World Cup,Middlesbrough,England,True,1966,1,1,Visitante
188,1966-07-19,Mexico,Uruguay,0,0,FIFA World Cup,London,England,True,1966,0,0,Empate
189,1966-07-20,Bulgaria,Hungary,1,3,FIFA World Cup,Manchester,England,True,1966,4,2,Visitante
190,1966-07-20,Chile,Russia,1,2,FIFA World Cup,Sunderland,England,True,1966,3,1,Visitante
191,1966-07-20,England,France,2,0,FIFA World Cup,London,England,False,1966,2,2,Local
192,1966-07-20,Germany,Spain,2,1,FIFA World Cup,Birmingham,England,True,1966,3,1,Local
193,1966-07-23,England,Argentina,1,0,FIFA World Cup,London,England,False,1966,1,1,Local
194,1966-07-23,Germany,Uruguay,4,0,FIFA World Cup,Sheffield,England,True,1966,4,4,Local
195,1966-07-23,Hungary,Russia,1,2,FIFA World Cup,Sunderland,England,True,1966,3,1,Visitante
196,1966-07-23,North Korea,Portugal,3,5,FIFA World Cup,Liverpool,England,True,1966,8,2,Visitante
197,1966-07-25,Germany,Russia,2,1,FIFA World Cup,Liverpool,England,True,1966,3,1,Local
198,1966-07-26,England,Portugal,2,1,FIFA World Cup,London,England,False,1966,3,1,Local
199,1966-07-28,Portugal,Russia,2,1,FIFA World Cup,London,England,True,1966,3,1,Local
200,1966-07-30,England,Germany,4,2,FIFA World Cup,London,England,False,1966,6,2,Local
201,1970-05-31,Mexico,Russia,0,0,FIFA World Cup,Mexico City,Mexico,False,1970,0,0,Empate
202,1970-06-02,Bulgaria,Peru,2,3,FIFA World Cup,León,Mexico,True,1970,5,1,Visitante
203,1970-06-02,England,Romania,1,0,FIFA World Cup,Guadalajara,Mexico,True,1970,1,1,Local
204,1970-06-02,Israel,Uruguay,0,2,FIFA World Cup,Puebla,Mexico,True,1970,2,2,Visitante
205,1970-06-03,Belgium,El Salvador,3,0,FIFA World Cup,Mexico City,Mexico,True,1970,3,3,Local
206,1970-06-03,Brazil,Czechoslovakia,4,1,FIFA World Cup,Guadalajara,Mexico,True,1970,5,3,Local
207,1970-06-03,Germany,Morocco,2,1,FIFA World Cup,León,Mexico,True,1970,3,1,Local
208,1970-06-03,Italy,Sweden,1,0,FIFA World Cup,Toluca,Mexico,True,1970,1,1,Local
209,1970-06-06,Belgium,Russia,1,4,FIFA World Cup,Mexico City,Mexico,True,1970,5,3,Visitante
210,1970-06-06,Czechoslovakia,Romania,1,2,FIFA World Cup,Guadalajara,Mexico,True,1970,3,1,Visitante
211,1970-06-06,Italy,Uruguay,0,0,FIFA World Cup,Puebla,Mexico,True,1970,0,0,Empate
212,1970-06-06,Morocco,Peru,0,3,FIFA World Cup,León,Mexico,True,1970,3,3,Visitante
213,1970-06-07,Brazil,England,1,0,FIFA World Cup,Guadalajara,Mexico,True,1970,1,1,Local
214,1970-06-07,Bulgaria,Germany,2,5,FIFA World Cup,León,Mexico,True,1970,7,3,Visitante
215,1970-06-07,Israel,Sweden,1,1,FIFA World Cup,Toluca,Mexico,True,1970,2,0,Empate
216,1970-06-07,Mexico,El Salvador,4,0,FIFA World Cup,Mexico City,Mexico,False,1970,4,4,Local
217,1970-06-10,Brazil,Romania,3,2,FIFA World Cup,Guadalajara,Mexico,True,1970,5,1,Local
218,1970-06-10,El Salvador,Russia,0,2,FIFA World Cup,Mexico City,Mexico,True,1970,2,2,Visitante
219,1970-06-10,Germany,Peru,3,1,FIFA World Cup,León,Mexico,True,1970,4,2,Local
220,1970-06-10,Sweden,Uruguay,1,0,FIFA World Cup,Puebla,Mexico,True,1970,1,1,Local
221,1970-06-11,Bulgaria,Morocco,1,1,FIFA World Cup,León,Mexico,True,1970,2,0,Empate
222,1970-06-11,Czechoslovakia,England,0,1,FIFA World Cup,Guadalajara,Mexico,True,1970,1,1,Visitante
223,1970-06-11,Israel,Italy,0,0,FIFA World Cup,Toluca,Mexico,True,1970,0,0,Empate
224,1970-06-11,Mexico,Belgium,1,0,FIFA World Cup,Mexico City,Mexico,False,1970,1,1,Local
225,1970-06-14,Brazil,Peru,4,2,FIFA World Cup,Guadalajara,Mexico,True,1970,6,2,Local
226,1970-06-14,England,Germany,2,3,FIFA World Cup,León,Mexico,True,1970,5,1,Visitante
227,1970-06-14,Mexico,Italy,1,4,FIFA World Cup,Toluca,Mexico,False,1970,5,3,Visitante
228,1970-06-14,Russia,Uruguay,0,1,FIFA World Cup,Mexico City,Mexico,True,1970,1,1,Visitante
229,1970-06-17,Brazil,Uruguay,3,1,FIFA World Cup,Guadalajara,Mexico,True,1970,4,2,Local
230,1970-06-17,Germany,Italy,3,4,FIFA World Cup,Mexico City,Mexico,True,1970,7,1,Visitante
231,1970-06-20,Germany,Uruguay,1,0,FIFA World Cup,Mexico City,Mexico,True,1970,1,1,Local
232,1970-06-21,Brazil,Italy,4,1,FIFA World Cup,Mexico City,Mexico,True,1970,5,3,Local
233,1974-06-13,Brazil,Yugoslavia,0,0,FIFA World Cup,Frankfurt,Germany,True,1974,0,0,Empate
234,1974-06-14,DR Congo,Scotland,0,2,FIFA World Cup,Dortmund,Germany,True,1974,2,2,Visitante
235,1974-06-14,German DR,Australia,2,0,FIFA World Cup,Hamburg,Germany,True,1974,2,2,Local
236,1974-06-14,Germany,Chile,1,0,FIFA World Cup,Berlin,Germany,False,1974,1,1,Local
237,1974-06-15,Italy,Haiti,3,1,FIFA World Cup,Munich,Germany,True,1974,4,2,Local
238,1974-06-15,Poland,Argentina,3,2,FIFA World Cup,Stuttgart,Germany,True,1974,5,1,Local
239,1974-06-15,Sweden,Bulgaria,0,0,FIFA World Cup,Düsseldorf,Germany,True,1974,0,0,Empate
240,1974-06-15,Uruguay,Netherlands,0,2,FIFA World Cup,Hanover,Germany,True,1974,2,2,Visitante
241,1974-06-18,Chile,German DR,1,1,FIFA World Cup,Berlin,Germany,True,1974,2,0,Empate
242,1974-06-18,Germany,Australia,3,0,FIFA World Cup,Hamburg,Germany,False,1974,3,3,Local
243,1974-06-18,Scotland,Brazil,0,0,FIFA World Cup,Frankfurt,Germany,True,1974,0,0,Empate
244,1974-06-18,Yugoslavia,DR Congo,9,0,FIFA World Cup,Gelsenkirchen,Germany,True,1974,9,9,Local
245,1974-06-19,Argentina,Italy,1,1,FIFA World Cup,Stuttgart,Germany,True,1974,2,0,Empate
246,1974-06-19,Bulgaria,Uruguay,1,1,FIFA World Cup,Hanover,Germany,True,1974,2,0,Empate
247,1974-06-19,Haiti,Poland,0,7,FIFA World Cup,Munich,Germany,True,1974,7,7,Visitante
248,1974-06-19,Netherlands,Sweden,0,0,FIFA World Cup,Dortmund,Germany,True,1974,0,0,Empate
249,1974-06-22,Australia,Chile,0,0,FIFA World Cup,Berlin,Germany,True,1974,0,0,Empate
250,1974-06-22,DR Congo,Brazil,0,3,FIFA World Cup,Gelsenkirchen,Germany,True,1974,3,3,Visitante
251,1974-06-22,Germany,German DR,0,1,FIFA World Cup,Hamburg,Germany,False,1974,1,1,Visitante
252,1974-06-22,Scotland,Yugoslavia,1,1,FIFA World Cup,Frankfurt,Germany,True,1974,2,0,Empate
253,1974-06-23,Argentina,Haiti,4,1,FIFA World Cup,Munich,Germany,True,1974,5,3,Local
